,Name,Location,Rating,Total Review,Price,After Dicount
0,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
1,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
2,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
3,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
4,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
5,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
6,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
7,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
8,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
9,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
10,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
11,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
12,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
13,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
14,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
15,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
16,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
17,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
18,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
19,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
20,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
21,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
22,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
23,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
24,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
25,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
26,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
27,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
28,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
29,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
30,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
31,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
32,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
33,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
34,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
35,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
36,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
37,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
38,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
39,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
40,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
41,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
42,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
43,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
44,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
45,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
46,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
47,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
48,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
49,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
50,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
51,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
52,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
53,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
54,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
55,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
56,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
57,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
58,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
59,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
60,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
61,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
62,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
63,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
64,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
65,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
66,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
67,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
68,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
69,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
70,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
71,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
72,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
73,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
74,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
75,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
76,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
77,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
78,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
79,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
80,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
81,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
82,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
83,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
84,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
85,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
86,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
87,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
88,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
89,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
90,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
91,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
92,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
93,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
94,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
95,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
96,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
97,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
98,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
99,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
100,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
101,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
102,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
103,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
104,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
105,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
106,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
107,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
108,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
109,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
110,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
111,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
112,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
113,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
114,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
115,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
116,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
117,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
118,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
119,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
120,Melasti Beach Kecak Dance Show,"Ungasan, Badung",10.0,(2 reviews),Rp 150.000,Rp 105.000
121,Bali - Nusa Penida 3 D 2 N by Bali Best Adventure,"Denpasar Selatan, Denpasar",10.0,(1 review),Rp 3.500.000,Rp 1.950.000
122,Tiket Fastboat ke Nusa Penida,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 275.000
123,KOMANG ELOT SNORKELING,"Padangbai, Karangasem",,,Rp 250.000,Rp 212.500
124,BALI Nusa Penida Private Tours,"Nusa Penida, Klungkung",10.0,(101 reviews),Rp 290.000,Rp 269.000
125,Nusa Penida Tour Mix/Kombinasi (Barat & Timur) Domestik by Bali RSV,"Nusa Penida, Klungkung",,,Rp 400.000,Rp 330.000
126,Tur Kintamani 1 Hari,"Kintamani, Bangli",,,Rp 730.000,Rp 580.000
127,Overnight Nusa Penida Trip ,"Nusa Penida, Klungkung",,,Rp 1.750.000,Rp 1.487.500
128,Tour Sehari di Nusa Penida,"Nusa Penida, Klungkung",9.6,(31 reviews),Rp 750.000,Rp 185.000
129,BALI DAY TRIP ULUWATU - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 150.000,Rp 127.500
130,Tour Bebas di Bali,"Kintamani, Bangli",9.7,(15 reviews),Rp 550.000,Rp 135.000
131,BALI DAY TRIP UBUD - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 180.000,Rp 153.000
132,Bali Blue Lagoon Snorkeling,"Padangbai, Karangasem",,,Rp 400.000,Rp 199.111
133,OPEN TRIP BALI NUSAPENIDA 4 HARI 1 MALAM 19-22 JUNI 23 (START FINISH : JOGJA),"Nusa Penida, Klungkung",,,Rp 2.200.000,Rp 1.870.000
134,NUSA PENIDA BALI PRIVATE TOUR - ALVA TRAVELINDO,"Denpasar Barat, Denpasar",,,Rp 350.000,Rp 297.500
